Order Date,Item Type,Total Revenue
01/01/2025,Books,566.63
01/02/2025,Beauty,1364.9
01/03/2025,Home & Kitchen,444.59
01/04/2025,Beauty,989.15
01/05/2025,Beauty,50.75
01/06/2025,Clothing,561.22
01/07/2025,Home & Kitchen,491.93
01/08/2025,Home & Kitchen,288.75
01/09/2025,Home & Kitchen,824.43
01/10/2025,Beauty,753.0
01/11/2025,Books,1054.03
01/12/2025,Home & Kitchen,440.65
01/13/2025,Beauty,403.98
01/14/2025,Clothing,294.02
01/15/2025,Books,367.21
01/16/2025,Clothing,MISSING_DATA
01/17/2025,Books,635.56
01/18/2025,Beauty,144.09
01/19/2025,Electronics,418.18
01/20/2025,Books,407.97
01/21/2025,Clothing,1059.64
01/22/2025,Beauty,1082.79
01/23/2025,Books,264.73
01/24/2025,Electronics,1496.72
01/25/2025,Electronics,436.83
01/26/2025,Home & Kitchen,1466.09
01/27/2025,Home & Kitchen,646.0
01/28/2025,Clothing,97.92
01/29/2025,Books,550.35
01/30/2025,Books,969.81
01/31/2025,Home & Kitchen,1037.02
02/01/2025,Books,819.86
02/02/2025,Books,699.29
02/03/2025,Electronics,851.69
02/04/2025,Home & Kitchen,909.41
02/05/2025,Beauty,167.24
02/06/2025,Home & Kitchen,586.0
02/07/2025,Beauty,401.13
02/08/2025,Electronics,1214.55
02/09/2025,Clothing,731.94
02/10/2025,Books,1475.96
02/11/2025,Electronics,628.3
02/12/2025,Books,UNKNOWN_VAL
02/13/2025,Clothing,1207.6
02/14/2025,Clothing,268.54
02/15/2025,Electronics,786.89
02/16/2025,Clothing,1058.93
02/17/2025,Beauty,1294.62
02/18/2025,Clothing,522.64
02/19/2025,Books,369.35
02/20/2025,Books,1081.17
02/21/2025,Books,1223.78
02/22/2025,Books,555.57
02/23/2025,Beauty,189.46
02/24/2025,Home & Kitchen,1413.76
02/25/2025,Electronics,626.48
02/26/2025,Books,800.74
02/27/2025,Clothing,1264.68
02/28/2025,Books,1029.75
03/01/2025,Clothing,1116.06
03/02/2025,Clothing,353.15
03/03/2025,Books,835.1
03/04/2025,Beauty,1058.89
03/05/2025,Clothing,381.4
03/06/2025,Clothing,303.68
03/07/2025,Books,1474.14
03/08/2025,Clothing,799.12
03/09/2025,Clothing,428.2
03/10/2025,Books,1494.57
03/11/2025,Books,1449.86
03/12/2025,Electronics,859.53
03/13/2025,Beauty,1329.82
03/14/2025,Beauty,323.63
03/15/2025,Clothing,454.36
03/16/2025,Beauty,1065.52
03/17/2025,Clothing,1277.66
03/18/2025,Electronics,1291.67
03/19/2025,Books,636.54
03/20/2025,Books,1337.27
03/21/2025,Books,1283.85
03/22/2025,Beauty,1406.67
03/23/2025,Electronics,1188.74
03/24/2025,Beauty,1020.03
03/25/2025,Beauty,892.0
03/26/2025,Electronics,589.81
03/27/2025,Electronics,1413.19
03/28/2025,Electronics,1461.81
03/29/2025,Electronics,461.69
03/30/2025,Books,492.78
03/31/2025,Home & Kitchen,754.14
04/01/2025,Home & Kitchen,700.22
04/02/2025,Electronics,1491.96
04/03/2025,Home & Kitchen,305.09
04/04/2025,Home & Kitchen,76.21
04/05/2025,Electronics,766.15
04/06/2025,Home & Kitchen,309.29
04/07/2025,Beauty,581.38
04/08/2025,Clothing,1129.05
04/09/2025,Clothing,1095.36
04/10/2025,Electronics,496.69
04/11/2025,Books,836.68
04/12/2025,Electronics,787.78
04/13/2025,Books,972.68
04/14/2025,Clothing,413.17
04/15/2025,Electronics,905.31
04/16/2025,Beauty,1469.39
04/17/2025,Home & Kitchen,755.78
04/18/2025,Books,1363.84
04/19/2025,Home & Kitchen,679.87
04/20/2025,Home & Kitchen,557.61
04/21/2025,Electronics,985.4
04/22/2025,Home & Kitchen,1019.94
04/23/2025,Beauty,1303.04
04/24/2025,Home & Kitchen,383.77
04/25/2025,Electronics,773.83
04/26/2025,Beauty,879.41
04/27/2025,Clothing,1164.4
04/28/2025,Home & Kitchen,113.23
04/29/2025,Electronics,1492.1
04/30/2025,Clothing,731.42
05/01/2025,Clothing,455.36
05/02/2025,Books,1331.07
05/03/2025,Beauty,1134.19
05/04/2025,Home & Kitchen,1431.95
05/05/2025,Electronics,529.59
05/06/2025,Books,851.51
05/07/2025,Beauty,879.82
05/08/2025,Books,1471.48
05/09/2025,Beauty,159.25
05/10/2025,Beauty,493.26
05/11/2025,Home & Kitchen,326.82
05/12/2025,Beauty,439.29
05/13/2025,Books,753.66
05/14/2025,Beauty,590.4
05/15/2025,Home & Kitchen,622.3
05/16/2025,Home & Kitchen,1274.11
05/17/2025,Books,1398.52
05/18/2025,Clothing,152.1
05/19/2025,Clothing,352.93
05/20/2025,Beauty,1023.16
05/21/2025,Electronics,570.04
05/22/2025,Beauty,418.54
05/23/2025,Books,478.17
05/24/2025,Books,517.7
05/25/2025,Books,1280.57
05/26/2025,Books,248.1
05/27/2025,Books,1077.92
05/28/2025,Home & Kitchen,851.59
05/29/2025,Clothing,479.94
05/30/2025,Books,658.68
